# number of KF, number of MP, UpdateLM[ms], SearchLP[ms], PoseOpt[ms]
11,2320,0.853386,1.631628,5.514015
11,2320,0.709113,1.530428,3.674222
11,2320,0.451811,1.173759,3.353201
11,2320,0.421502,1.115910,3.004102
12,2347,1.709336,1.617684,4.631156
12,2347,0.755658,2.155988,3.892351
12,2347,2.390550,1.273771,4.395824
12,2347,0.525371,1.153074,3.461826
11,2209,1.235386,2.381437,5.661325
11,2209,0.810071,1.822131,4.053382
11,2209,0.517216,1.340150,3.622389
11,2209,0.435301,1.260250,3.278959
12,2388,1.113529,1.733092,5.432570
12,2388,0.933942,1.792334,4.793458
12,2388,0.549076,1.517485,4.574513
12,2388,0.544126,1.351578,3.220754
12,2388,0.480665,1.280054,3.056143
13,2474,0.960904,1.747300,5.201131
13,2474,0.890383,1.879278,5.037572
13,2474,0.587594,1.495936,4.026507
13,2474,0.530023,1.292744,3.472815
14,2694,1.298588,3.047932,7.610137
14,2694,0.934690,1.792198,4.850810
14,2694,0.936796,1.835055,4.315086
14,2694,0.584713,1.536365,3.415018
13,2595,1.056180,2.551308,6.725729
15,2856,1.021889,2.157701,5.024904
15,2856,0.571569,2.108457,3.660962
16,3114,1.221204,4.282611,6.444829
16,3114,1.209511,2.479250,4.815264
14,2853,0.555553,2.151401,3.570577
17,3235,1.223226,2.511928,5.998936
17,3235,0.949635,1.974886,4.785448
17,3235,0.795668,2.002732,4.485930
17,3235,0.605532,1.620302,3.475745
18,3333,1.379801,3.301279,6.508541
18,3333,0.961871,2.086352,4.078302
18,3333,1.084102,2.247057,3.767112
18,3333,0.652275,1.597112,2.777792
19,3456,1.378977,3.352248,5.757006
19,3456,1.842593,2.605531,4.247338
19,3456,0.766558,1.854957,3.472851
20,3498,1.376357,3.438443,6.029221
20,3498,1.131879,2.953129,4.090365
20,3498,0.962471,1.896547,2.734767
21,3546,1.381348,2.905081,4.638524
21,3546,1.175409,2.226241,3.650249
21,3546,0.749592,1.678992,2.611907
22,3684,1.263596,2.629779,5.449833
22,3684,1.159105,2.161288,3.965198
