#LBA time[ms], KF opt[#], KF fixed[#], MP[#], Edges[#]
82.708861,9,15,2135,5481
126.081298,10,15,2192,5775
96.124096,11,15,2314,6161
143.407536,12,15,2389,6417
106.456999,13,15,2471,6765
102.395416,13,10,2411,6572
115.072644,13,11,2469,6764
115.475988,10,8,2149,5696
90.072043,11,8,2160,5943
90.867769,11,9,2145,6197
98.151201,11,16,2231,6845
94.396975,11,11,2113,6648
95.063751,10,12,1648,4826
76.040349,11,12,1843,5277
116.302784,12,12,2006,5701
118.788851,11,14,2040,5753
111.039940,10,15,1969,5287
112.027078,10,16,2044,5388
109.765689,9,18,2071,5433
60.755858,6,22,1580,4035
73.920568,5,24,1398,3820
57.722998,5,15,1452,4030
66.385825,6,15,1651,4713
114.945802,7,15,1757,5249
121.472929,8,15,1931,5831
145.816511,9,15,2106,6404
146.328429,10,15,2344,7072
174.413379,11,15,2451,7477
111.628911,11,12,2315,7170
98.568633,9,15,2168,6805
78.289560,6,18,1741,5213
67.657924,6,19,1630,4803
83.935888,6,19,1603,4350
69.829895,7,20,1785,4829
108.442870,8,20,2023,5353
87.688971,9,20,2161,5857
125.629590,10,20,2173,6184
100.855424,11,20,2373,6624
147.686631,12,20,2505,6956
100.626985,12,16,2386,6454
101.736206,13,16,2295,6581
107.851766,14,16,2378,6995
115.986327,15,16,2443,7407
167.224667,16,16,2596,7878
130.101030,17,16,2709,8242
135.392535,18,16,2781,8661
140.757755,19,16,2832,9014
149.241401,20,16,2957,9461
164.057847,21,16,3175,9960
162.089462,19,19,3365,10281
139.739375,18,10,2935,8800
144.047024,19,10,2896,9113
159.277655,20,10,2887,9464
158.756452,21,10,3049,10109
230.517438,21,11,3193,10729
178.969871,23,10,3232,11217
277.727555,24,10,3404,11915
198.794259,22,13,3388,11882
194.922010,21,15,3477,12318
107.761663,10,23,1986,7250
101.080493,9,25,1995,7088
109.269896,10,25,2171,7628
102.470266,6,30,1649,5552
73.563515,6,30,1637,5109
109.527993,7,30,1797,5674
103.809062,7,13,1758,5065
111.076299,8,13,1904,5536
101.311432,9,13,2044,5925
120.522415,9,11,1966,5600
91.117167,10,11,2067,5961
95.540153,11,11,2146,6242
100.085629,12,11,2263,6554
104.078923,13,11,2370,6864
101.239480,13,12,2297,6735
100.568078,13,11,2377,6679
115.265559,15,12,2677,7568
127.718507,12,7,2234,6123
77.858774,10,9,1855,4958
