#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
22.440028,0.538778,93.631864,216.680627,3.781781,337.073786
22.475594,0.481494,95.752814,204.840000,5.309077,328.859797
22.879107,0.518543,98.471925,261.035360,5.131779,388.037390
22.093400,0.632725,92.618082,184.231030,5.295519,304.871383
21.474243,0.606948,101.987459,257.573872,5.497061,387.140582
41.653373,0.742638,100.762349,205.948883,7.439220,356.547070
28.978088,1.049155,89.598828,194.709726,7.547049,321.883647
26.456828,0.684750,98.867244,0.000000,0.000000,126.009500
24.696481,0.602621,86.511223,153.135287,4.245170,269.191720
26.131026,0.431491,93.166176,117.798315,4.567531,242.095147
28.752696,0.459643,103.965540,42.074135,5.070133,180.323045
26.266871,0.477239,79.068521,0.000000,0.000000,105.813403
25.348311,0.418403,111.404986,126.896632,4.707684,268.776881
28.842628,0.485893,99.805789,204.005305,4.812630,337.952888
28.830401,1.837292,110.780148,291.049015,5.687536,438.190167
33.004212,0.788438,98.483534,320.154518,5.375261,457.806746
27.799613,0.635289,90.108100,233.170229,5.588833,357.302830
26.228549,0.693960,86.183577,231.216052,8.007377,352.330071
22.273772,0.751044,88.170853,177.248485,7.498876,295.943888
21.744159,0.756138,91.019361,171.222436,7.366035,292.108972
21.332738,0.750325,91.723409,161.039974,4.352290,279.199413
22.022512,0.774215,86.576035,111.945731,4.236223,225.555373
20.923260,0.656573,85.448086,110.489606,3.876805,221.394938
20.808743,0.568078,84.576898,114.925714,4.050829,224.930743
20.958299,0.508426,87.705005,172.529201,8.250932,289.952535
19.979142,0.438643,70.830438,127.436279,3.943833,222.628841
18.992984,0.404990,67.186614,42.054814,3.032701,131.672587
19.539084,0.437155,78.433869,136.647452,4.063136,239.121557
20.434652,0.403047,92.277342,165.347848,8.470452,286.934299
20.656109,0.476049,94.378525,175.497494,8.672184,299.681166
19.669043,0.559173,95.368942,194.649697,8.336080,318.583550
19.196103,0.691049,94.369590,102.992272,7.722862,224.974640
18.679896,0.640628,100.242482,109.965218,8.020207,237.549090
19.246489,0.650336,94.457467,192.310764,8.846893,315.512926
19.259041,0.575822,95.718586,117.201387,8.061507,240.817085
19.246481,0.543386,89.784552,156.015397,7.974191,273.564734
19.890238,0.501921,97.110859,136.112567,8.130768,261.746990
19.225668,0.516596,91.150565,116.183488,8.533785,235.610899
18.965788,0.629115,88.172327,118.159847,8.455353,234.383292
17.087775,0.594952,70.567871,106.030109,2.228808,196.510137
15.820372,0.485209,61.368100,71.575376,1.800168,151.049896
15.089431,0.654834,49.580592,67.056461,1.566419,133.948270
14.805081,0.417721,37.395291,53.746472,1.063543,107.428712
15.743466,0.682930,33.983199,62.510136,1.227845,114.148200
15.475395,0.467740,37.534110,59.228489,1.273527,113.979765
15.415849,0.454912,44.097511,76.345917,1.330045,137.644773
15.631311,0.497712,46.618129,83.544752,1.650968,147.943644
15.830976,0.563417,46.180831,83.614658,1.486517,147.676869
15.733341,0.415646,48.727423,64.944211,1.791288,131.612503
15.433877,0.426322,52.198716,64.914356,1.839489,134.813327
16.006186,0.465422,58.173818,37.835049,1.773670,114.254617
16.805409,0.319839,64.451591,12.170951,1.783334,95.531607
16.839660,0.252484,61.644506,76.551206,1.841241,157.129721
17.552788,0.279821,68.834753,87.230050,2.020398,175.918468
17.657101,0.344696,73.125475,132.066388,2.339785,225.533959
17.163194,0.461654,72.538724,101.590850,2.775543,194.530650
17.342751,0.517103,70.241391,104.101299,2.392960,194.596226
17.890013,0.501929,77.264470,64.232529,2.518344,162.407876
22.774512,0.579508,91.347118,169.067545,3.033383,286.802622
18.433793,0.511861,86.462301,124.044324,2.976134,232.428986
18.716979,0.498347,87.099067,178.346456,3.202307,287.863914
35.927317,0.754577,94.642804,121.177592,3.394318,255.897283
28.652775,0.592965,81.605238,181.107101,3.596107,295.558059
36.309372,0.989955,89.874013,123.924538,3.272601,254.371782
25.698877,0.497429,78.163449,119.103847,3.196935,226.661406
23.746329,0.514973,85.151984,182.607963,4.038519,296.060508
24.807366,0.506739,79.932212,107.439358,3.292779,215.979142
22.870379,0.427626,79.708255,107.544154,3.669167,214.220503
26.255465,0.502846,82.516146,90.548812,3.770181,203.593870
23.240431,0.406834,73.702810,95.450044,3.026774,195.827501
21.631400,0.563141,86.773763,75.728376,3.144886,187.842191
37.666870,0.509243,89.849341,82.874258,3.686041,214.586272
28.988390,0.570711,77.771560,106.756478,3.723589,217.811267
25.838822,0.483647,87.943589,84.225508,3.378372,201.870457
24.872379,0.636946,88.735767,148.043732,3.409504,265.702157
25.159236,0.789987,81.782663,83.954732,3.015009,194.702342
22.748785,0.384193,73.912883,67.092800,23.818070,187.957903
22.341503,0.501968,68.043238,12.589778,2.701981,106.179010
20.840784,0.302791,71.576205,27.533032,2.521269,122.774764
19.794818,0.211467,72.368968,18.448330,2.621760,113.445842
20.609325,0.419891,76.471570,15.847479,2.616812,115.965668
20.382514,0.264484,74.414996,0.000000,0.000000,95.062655
